GUID,Start Day and Time,End Day and Time,Header,Title,Description
1,5/3/2015 6:30,5/3/2015 7:45,,Registration and Breakfast,
2,5/3/2015 7:45,5/3/2015 8:00,,Seating,
3,5/3/2015 8:00,5/3/2015 8:15,,"Welcome, Introductions, Course Objectives","Samuel Z. Goldhaber, MD; Peter Libby, MD; Patrick O'Gara, MD"
4,5/3/2015 8:15,5/3/2015 8:50,"Atherosclerosis, Inflammation, Thrombosis, and Risk Factors / Co-Chairs: Samuel Z. Goldhaber, MD and Patrick O'Gara, MD",Update on the Pathophysiology of Acute Myocardial Infarction,"Peter Libby, MD"
5,5/3/2015 8:50,5/3/2015 9:00,"Atherosclerosis, Inflammation, Thrombosis, and Risk Factors / Co-Chairs: Samuel Z. Goldhaber, MD and Patrick O'Gara, MD","Discussion, Q&A",
6,5/3/2015 9:00,5/3/2015 9:35,"Atherosclerosis, Inflammation, Thrombosis, and Risk Factors / Co-Chairs: Samuel Z. Goldhaber, MD and Patrick O'Gara, MD",Targeting and Reducing Inflammation in Atherothrombosis,"Paul M Ridker, MD, MPH"
7,5/3/2015 9:35,5/3/2015 9:45,"Atherosclerosis, Inflammation, Thrombosis, and Risk Factors / Co-Chairs: Samuel Z. Goldhaber, MD and Patrick O'Gara, MD","Discussion, Q&A",
8,5/3/2015 9:45,5/3/2015 10:20,"Atherosclerosis, Inflammation, Thrombosis, and Risk Factors / Co-Chairs: Samuel Z. Goldhaber, MD and Patrick O'Gara, MD",Dyslipidemia and Cardiometabolic Syndrome,"Jorge Plutzky, MD"
9,5/3/2015 10:20,5/3/2015 10:30,"Atherosclerosis, Inflammation, Thrombosis, and Risk Factors / Co-Chairs: Samuel Z. Goldhaber, MD and Patrick O'Gara, MD","Discussion, Q&A",
10,5/3/2015 10:30,5/3/2015 10:55,"Atherosclerosis, Inflammation, Thrombosis, and Risk Factors / Co-Chairs: Samuel Z. Goldhaber, MD and Patrick O'Gara, MD",Coffee Break,
11,5/3/2015 10:55,5/3/2015 11:30,"Atherosclerosis, Inflammation, Thrombosis, and Risk Factors / Co-Chairs: Samuel Z. Goldhaber, MD and Patrick O'Gara, MD",Preventive Cardiology: Consensus and Controversy at the Crossroads,"Donna Polk, MD"
12,5/3/2015 11:30,5/3/2015 11:40,"Atherosclerosis, Inflammation, Thrombosis, and Risk Factors / Co-Chairs: Samuel Z. Goldhaber, MD and Patrick O'Gara, MD","Discussion, Q&A",
13,5/3/2015 11:40,5/3/2015 12:30,"Thomas W. Smith, MD Memorial Lecture / Session Chair: Peter Libby, MD",TOPIC:  TBA,"James Fang, MD"
14,5/3/2015 12:30,5/3/2015 12:40,"Thomas W. Smith, MD Memorial Lecture / Session Chair: Peter Libby, MD","Discussion, Q&A",
15,5/3/2015 12:40,5/3/2015 13:55,"Thomas W. Smith, MD Memorial Lecture / Session Chair: Peter Libby, MD",Lunch,
16,5/3/2015 13:55,5/3/2015 14:30,"Valvular Heart Disease Symposium / Session Chair: Frederick G.P. Welt, MD","Mitral Valve Disease: Hemodynamics, Clinical Assessment, and Guidelines","Patrick O'Gara, MD"
17,5/3/2015 14:30,5/3/2015 14:40,"Valvular Heart Disease Symposium / Session Chair: Frederick G.P. Welt, MD","Discussion, Q&A",
18,5/3/2015 14:40,5/3/2015 15:15,"Valvular Heart Disease Symposium / Session Chair: Frederick G.P. Welt, MD",Transcatheter Aortic Valve Replacement,"Frederick Welt, MD"
19,5/3/2015 15:15,5/3/2015 15:25,"Valvular Heart Disease Symposium / Session Chair: Frederick G.P. Welt, MD","Discussion, Q&A",
20,5/3/2015 15:25,5/3/2015 16:00,"Valvular Heart Disease Symposium / Session Chair: Frederick G.P. Welt, MD",Integrating Cardiac Surgery and Invasive Cardiology to Tackle Valvular and Coronary Heart Disease: A Reboot to Optimize Cardiovascular Services,"John G. Byrne, MD"
21,5/3/2015 16:00,5/3/2015 16:10,"Valvular Heart Disease Symposium / Session Chair: Frederick G.P. Welt, MD","Discussion, Q&A",
22,5/3/2015 16:10,5/3/2015 16:30,"Valvular Heart Disease Symposium / Session Chair: Frederick G.P. Welt, MD",Break for snacks,
23,5/3/2015 16:30,5/3/2015 17:05,"Electrophysiology: State of the Art / Co-Chairs: Laurence Epstein, MD and William G. Stevenson, MD","Stroke Prevention in Atrial Fibrillation:  Epidemiology and Risk Assessment, including Scoring Systems, Biomarkers, and Genetics","Christian Ruff, MD"
24,5/3/2015 17:05,5/3/2015 17:15,"Electrophysiology: State of the Art / Co-Chairs: Laurence Epstein, MD and William G. Stevenson, MD","Discussion, Q&A",
25,5/3/2015 17:15,5/3/2015 17:50,"Electrophysiology: State of the Art / Co-Chairs: Laurence Epstein, MD and William G. Stevenson, MD","Stroke Prevention in Atrial Fibrillation: Warfarin, Antiplatelet Therapy, and Novel Anticoagulants: Where Do We Stand?  Has the Dust Settled?","Samuel Z. Goldhaber, MD"
26,5/3/2015 17:50,5/3/2015 18:00,"Electrophysiology: State of the Art / Co-Chairs: Laurence Epstein, MD and William G. Stevenson, MD","Discussion, Q&A",
27,5/3/2015 18:00,5/3/2015 18:35,"Electrophysiology: State of the Art / Co-Chairs: Laurence Epstein, MD and William G. Stevenson, MD","Atrial Fibrillation: Rate versus Rhythm Control, Antiarrhythmic Therapy, Left Atrial Appendage Occlusion Devices, and Ablation","Laurence Epstein, MD"
28,5/3/2015 18:35,5/3/2015 18:45,"Electrophysiology: State of the Art / Co-Chairs: Laurence Epstein, MD and William G. Stevenson, MD","Discussion, Q&A",
29,5/3/2015 18:45,5/3/2015 19:20,"Electrophysiology: State of the Art / Co-Chairs: Laurence Epstein, MD and William G. Stevenson, MD",Ventricular Tachycardia Storm and Other EP Emergencies: A Case-Based Approach to Management,"William G. Stevenson, MD"
30,5/3/2015 19:20,5/3/2015 19:30,"Electrophysiology: State of the Art / Co-Chairs: Laurence Epstein, MD and William G. Stevenson, MD","Discussion, Q&A",
31,5/3/2015 19:30,,"Electrophysiology: State of the Art / Co-Chairs: Laurence Epstein, MD and William G. Stevenson, MD",Adjourn Day 1,
32,5/4/2015 8:00,5/4/2015 8:35,"Congenital Heart Disease and Pulmonary Hypertension / Session Chair: Samuel Z. Goldhaber, MD",Neurocognitive Deficits in Adults with Congenital Heart Disease: Emerging Recognition of a Common and Vexing Problem: Novel Management Strategies,"Jane Newburger, MD"
33,5/4/2015 8:35,5/4/2015 8:45,"Congenital Heart Disease and Pulmonary Hypertension / Session Chair: Samuel Z. Goldhaber, MD","Discussion, Q&A",
34,5/4/2015 8:45,5/4/2015 9:20,"Congenital Heart Disease and Pulmonary Hypertension / Session Chair: Samuel Z. Goldhaber, MD","Patent Foramen Ovale: Stroke and Migraine Risk, and Evidence-based Trials Supporting Aspirin, Anticoagulation, or Mechanical Closure","Michael J. Landzberg, MD"
35,5/4/2015 9:20,5/4/2015 9:30,"Congenital Heart Disease and Pulmonary Hypertension / Session Chair: Samuel Z. Goldhaber, MD","Discussion, Q&A",
36,5/4/2015 9:30,5/4/2015 10:05,"Congenital Heart Disease and Pulmonary Hypertension / Session Chair: Samuel Z. Goldhaber, MD","Pulmonary Arterial Hypertension: Classification, Diagnosis, and Emerging Therapies","Aaron B. Waxman, MD"
37,5/4/2015 10:05,5/4/2015 10:15,"Congenital Heart Disease and Pulmonary Hypertension / Session Chair: Samuel Z. Goldhaber, MD","Discussion, Q&A",
38,5/4/2015 10:15,5/4/2015 10:40,"Congenital Heart Disease and Pulmonary Hypertension / Session Chair: Samuel Z. Goldhaber, MD",Coffee Break,
39,5/4/2015 10:40,5/4/2015 11:15,"Featured Presentation: Department of Medicine Chair's Lecture / Session Chair: Peter Libby, MD",Heyde's Syndrome: Bedside-to-Bench Pathophysiology in Patients with Aortic Stenosis and Gastrointestinal Bleeding,"Joseph Loscalzo, MD, PhD"
40,5/4/2015 11:15,5/4/2015 11:25,"Featured Presentation: Department of Medicine Chair's Lecture / Session Chair: Peter Libby, MD","Discussion, Q&A",
41,5/4/2015 11:25,5/4/2015 12:00,"Advanced Heart Failure and Cardiomyopathy / Session Chair:  Mandeep R. Mehra, MD",Advanced Heart Failure: Principal Management Strategies for Inpatients,"Garrick C. Stewart, MD"
42,5/4/2015 12:00,5/4/2015 12:10,"Advanced Heart Failure and Cardiomyopathy / Session Chair:  Mandeep R. Mehra, MD","Discussion, Q&A",
